novelty,description
1,have a washing machine that can detect if clothes have stains and let users know which items have stains before you dry them.
1,have a removable laundry basket that the clothes can be added/removed in.
0,create program to help people understand how their washer works and how they can perform their own repairs.
1,change the way that water is filtered out of the washing machine using bio-inspired design based on the way that camel nose's hold water.
1,"create a new detergent that doesn't require the ""washing"" motion and instead just needs soaking in water."
1,the machine saves preferred load settings for a faster setup.
0,use water spray jets instead of water pumps.
1,repurposed the heat generated by washer to power dryer.
0,the machine is manufactured from parts that generate less electronic waste and is easy to take apart and recycle.
0,"for improving manufacturing operations, there can various ways to improve the assembly line, like the top panel is assembled automatically (through a robotic arm) right after the door in assembled to save time."
0,have colorful and patterned exterior to increase appeal.
0,"have extra long spin cycle. although this would actually increase the energy used by the washer, it could decrease the energy used for drying the clothes, perhaps making it easier to line dry them."
0,make parts non-manufacturer specific so parts can easily be replaced.
0,have washing rubber balls that can be physically put into washing machine and increase the cleaning effects.
0,"place a small water tank for the washer next to the house's heater or oven. when the washer is not being used, the water will just sit there. when one desires to do laundry the water will come from this tank and will not need to be heated."
0,use light-weight plastic drum for efficiency.
1,sense the load automatically and automatically determines the time to wash (this can avoid user choosing inappropriate washing cycle and wasting energy).
1,"add sensors that detect how soapy the water is, so that the machine doesn't use more soap than required. basically like titration -- make sure that you're adding just enough soap to fight the dirt in the load."
1,develop materials that can clean the clothes with no water or minimal water.
1,use mechanism that is similar to car washing tool that uses less water.
1,have internal components that could absorb color dye to reduce number of loads due to separating clothes by color.
0,use front-loading.
1,the machine has programmable wash settings.
1,use better soap that don't require heat or rinse.
0,have a quiet washing machine.
0,"look at new high performance plastics instead of metal forming, which could increase durability and manufacturability."
1,use simpler process with fewer options. make the machine more autonomous.
1,have the washer with cabinet made out of plastic that can be 3d printed or molded to eliminate parts of the manufacturing process. this also reduces the parts needed for the assembly.
1,incorporate a generator that is run by the rotating motion to reduce the electricity usage of other appliance.
1,use reclaimed water as the weight in the washer instead of concrete. save on shipping costs.
0,introduce washing machines of different sizes for different washing functions.
0,"from environmental perspective, instead of focusing on selling a machine to all users, create a hubs where users can drop off their clothes. adding a functionality of controlling the machine at the hub using cellphones can be appealing to users."
1,have a washing machine that automatically separates light clothes from dark clothes.
1,power washing machines by wind and sun. load washer early in the day and only start when conditions are optimal (lots of wind and/or sun).
