novelty,description
1,Have a washing machine that can detect if clothes have stains and let users know which items have stains before you dry them.
1,Have a removable laundry basket that the clothes can be added/removed in.
0,Create program to help people understand how their washer works and how they can perform their own repairs.
1,Change the way that water is filtered out of the washing machine using bio-inspired design based on the way that camel nose's hold water.
1,"Create a new detergent that doesn't require the ""washing"" motion and instead just needs soaking in water."
1,The machine saves preferred load settings for a faster setup.
0,Use water spray jets instead of water pumps.
1,Repurposed the heat generated by washer to power dryer.
0,The machine is manufactured from parts that generate less electronic waste and is easy to take apart and recycle.
0,"For improving manufacturing operations, there can various ways to improve the assembly line, like the top panel is assembled automatically (through a robotic arm) right after the door in assembled to save time."
0,Have colorful and patterned exterior to increase appeal.
0,"Have extra long spin cycle. Although this would actually increase the energy used by the washer, it could decrease the energy used for drying the clothes, perhaps making it easier to line dry them."
0,Make parts non-manufacturer specific so parts can easily be replaced.
0,Have washing rubber balls that can be physically put into washing machine and increase the cleaning effects.
0,"Place a small water tank for the washer next to the house's heater or oven. When the washer is not being used, the water will just sit there. When one desires to do laundry the water will come from this tank and will not need to be heated."
0,Use light-weight plastic drum for efficiency.
1,Sense the load automatically and automatically determines the time to wash (This can avoid user choosing inappropriate washing cycle and wasting energy).
1,"Add sensors that detect how soapy the water is, so that the machine doesn't use more soap than required. Basically like titration -- make sure that you're adding just enough soap to fight the dirt in the load."
1,Develop materials that can clean the clothes with no water or minimal water.
1,Use mechanism that is similar to car washing tool that uses less water.
1,Have internal components that could absorb color dye to reduce number of loads due to separating clothes by color.
0,Use front-loading.
1,The machine has programmable wash settings.
1,Use better soap that don't require heat or rinse.
0,Have a quiet washing machine.
0,"Look at new high performance plastics instead of metal forming, which could increase durability and manufacturability."
1,Use simpler process with fewer options. Make the machine more autonomous.
1,Have the washer with cabinet made out of plastic that can be 3D printed or molded to eliminate parts of the manufacturing process. This also reduces the parts needed for the assembly.
1,Incorporate a generator that is run by the rotating motion to reduce the electricity usage of other appliance.
1,Use reclaimed water as the weight in the washer instead of concrete. Save on shipping costs.
0,Introduce washing machines of different sizes for different washing functions.
0,"From environmental perspective, instead of focusing on selling a machine to all users, create a hubs where users can drop off their clothes. Adding a functionality of controlling the machine at the hub using cellphones can be appealing to users."
1,Have a washing machine that automatically separates light clothes from dark clothes.
1,Power washing machines by wind and sun. Load washer early in the day and only start when conditions are optimal (lots of wind and/or sun).
