Feas,Orig,ReprDescr
3,3,Have a washing machine that can detect if clothes have stains and let users know which items have stains before you dry them.
5,3,Have a removable laundry basket that the clothes can be added/removed in.
5,1,Create program to help people understand how their washer works and how they can perform their own repairs.
3,5,Change the way that water is filtered out of the washing machine using bio-inspired design based on the way that camel nose's hold water.
1,5,"Create a new detergent that doesn't require the ""washing"" motion and instead just needs soaking in water."
5,3,The machine saves preferred load settings for a faster setup.
4,2,Use water spray jets instead of water pumps.
2,3,Repurposed the heat generated by washer to power dryer.
4,1,The machine is manufactured from parts that generate less electronic waste and is easy to take apart and recycle.
5,2,"For improving manufacturing operations, there can various ways to improve the assembly line, like the top panel is assembled automatically (through a robotic arm) right after the door in assembled to save time."
5,1,Have colorful and patterned exterior to increase appeal.
5,1,"Have extra long spin cycle. Although this would actually increase the energy used by the washer, it could decrease the energy used for drying the clothes, perhaps making it easier to line dry them."
5,1,Make parts non-manufacturer specific so parts can easily be replaced.
5,2,Have washing rubber balls that can be physically put into washing machine and increase the cleaning effects.
1,2,"Place a small water tank for the washer next to the house's heater or oven. When the washer is not being used, the water will just sit there. When one desires to do laundry the water will come from this tank and will not need to be heated."
2,1,Use light-weight plastic drum for efficiency.
4,4,Sense the load automatically and automatically determines the time to wash (This can avoid user choosing inappropriate washing cycle and wasting energy).
2,4,"Add sensors that detect how soapy the water is, so that the machine doesn't use more soap than required. Basically like titration -- make sure that you're adding just enough soap to fight the dirt in the load."
1,4,Develop materials that can clean the clothes with no water or minimal water.
2,3,Use mechanism that is similar to car washing tool that uses less water.
4,3,Have internal components that could absorb color dye to reduce number of loads due to separating clothes by color.
5,1,Use front-loading.
5,3,The machine has programmable wash settings.
1,5,Use better soap that don't require heat or rinse.
4,1,Have a quiet washing machine.
2,1,"Look at new high performance plastics instead of metal forming, which could increase durability and manufacturability."
5,3,Use simpler process with fewer options. Make the machine more autonomous.
3,4,Have the washer with cabinet made out of plastic that can be 3D printed or molded to eliminate parts of the manufacturing process. This also reduces the parts needed for the assembly.
3,3,Incorporate a generator that is run by the rotating motion to reduce the electricity usage of other appliance.
3,4,Use reclaimed water as the weight in the washer instead of concrete. Save on shipping costs.
5,1,Introduce washing machines of different sizes for different washing functions.
3,1,"From environmental perspective, instead of focusing on selling a machine to all users, create a hubs where users can drop off their clothes. Adding a functionality of controlling the machine at the hub using cellphones can be appealing to users."
3,3,Have a washing machine that automatically separates light clothes from dark clothes.
5,3,Power washing machines by wind and sun. Load washer early in the day and only start when conditions are optimal (lots of wind and/or sun).
4,3,"The machine definitely has to be smart, meaning it should learn from the user's habits and adjust. Also, it should be actively adjusting its washing cycle in order to attain maximum performance overall. For example, it could constantly monitor water content (being rougher or softer) and adjust it's washing cycle accordingly."
1,4,We can generate electricity from the refrigerator conceptually as a thermodynamically cycle. So we can use it as a power source in washing machine.
1,4,Wash the cloths somehow that they are not needed to be ironed.
4,2,Design for fully robotic manufacture and disassembly for improved lifecycle.
2,3,Use water pressure from the tap to assist tumbling motor.
5,1,Have a spot cleaning station so that you can use less water in the minimum load.
2,1,Use bio-materials with less weight to reduce the weight.
3,1,Limit the amount of different types of material used.
3,4,Have a washing machine with a sorting feature to recognize and separate clothing with different wash cycle settings.
5,1,Baked on paint sounds like it would take extra energy usage to do the baking. Replacing it with simply spray-on paint would save on manufacturing costs.
5,3,Have the machine run off of reusable energy.
5,3,"Provide a label indicating a full load, encouraging users to avoid washing small loads and wasting water."
5,3,Amount of required detergent is indicated by a line based on the load amount.
3,1,"Change classic ""spin cycle"" style to see if there is a better agitation method."
5,1,Have neighbors share washers and use internet alert system or schedule so people known when it is free to use.
4,4,Machine measures weight of clothes loaded and adjusts the amount of water and detergent use accordingly.
4,4,Have a ventilation system to prevent mold from forming inside washer when door is closed between loads.
3,4,Use smart temperature setting based on the level of dirt and loading.
5,1,Make parts easily replaceable so that repair is low-cost and only some parts need to be renewed every few years as opposed to the whole machine.
3,2,Use organic biodegradable paints could be used to reduce the environmental impact.
3,2,Use better wash preset for more efficient wash.
3,1,Make the washing machine smart.
4,1,Re-purpose old washers.
3,2,Sense water cleanliness to determine if it can be reused.
5,5,Make a mini washing machine that attaches to your bike with a cylindrical frame that rolls like a wheel as you ride and tumbles the clothing.
4,2,Have a shake phase to remove most dirt.
5,1,Have real time water consumption feedback to the user as a subjective norm in order to motivate them to conserve water.
4,2,Route water through filter and reuse it.
3,3,"The washing machine could be repackaged, optimized such that the center of mass is closer to the middle than on the side. Actually if the motor is placed horizontally below the drum with the force transmitted via gears, we wouldn't need a concrete block or maybe even the shock absorbers (friction with the floor wouldn't let the machine to rotate). Machine with fewer components is definitely more sustainable, especially without the concrete block."
5,3,"Incorporate remote functionality, i.e. from a phone."
3,2,A hybrid system which adopts water and bead technologies to clean clothing.
4,1,Design with the current manufacturing capabilities of the factory in mind.
5,1,Paint machines with different organic colors so the machines appeal to users.
2,3,"Improve the efficiency of washing by creating new washing methods, such as using dry cleaning or using steamed water instead of liquid water."
4,1,Do research to find a perfect ration to mix detergent and water in order to increase the efficiency of detergent.
5,2,"Shorten the wash time or provide more options for wash settings, so users can have a very short wash per se if they only have a few items compared with the traditional ""small load"" which often still uses a fair amount of water."
3,2,Use sensors to stop the wash when the clothes are clean so that they do not wear out.
4,2,"Have a washing machine that incorporates a new kind of motion to remove dirt from clothes, like impulse jets of water rather than large quantities of water being poured into the spinning drum."
3,2,Have cars that can use the mechanical movement to wash clothes
4,2,Use smart tap.
5,2,Have unique user interface to make interaction with the washing machine simpler. Perhaps incorporate a children's single button setting so parents could help children begin to do laundry as a chore at a young age.
4,4,"Systems that wash clothes in fundamentally new ways, such as using UV light to kill bacteria, or different additives that reduce the need for water use."
5,2,Remove physical buttons and replace them with a touchscreen that only powers on when needed.
5,1,Make the washing delicate so the clothes will last longer.
5,1,"Reduce number of required inputs for user, and remove options to use hot water."
5,5,"Run the machine based on two power sources, an AC household supply and a battery based supply that is connected to an existing home exercise machine."
1,4,Do experiments with other types of fluids for washing clothes. Perhaps there is a fluid out there that can be reused many times unlike water where we get rid of it afterwards.
5,3,Design a portable machine with modular components which can be assembled easily.
5,3,Have drum that can slide out with clothes as if it was the hamper and directly dump into dryer.
5,1,Provide readable statistics on how much water and energy is used vs others.
5,1,Manufacture washing machines with recycled parts.
5,3,"Use algorithm for calculating when is the best time to wash, how much load to put in, to maximize the usage of water and energy."
5,1,Pre-mix soap and water to ensure dry detergent is not left on clothes if using power detergent and concentrated detergent is not in contact with clothes if using liquid detergent.
3,1,Use better bearings.
4,3,"Attract users by increasing automation in the washing machines. For example, combining washer and dryer into a single machine."
4,1,Combine washer and dryer to save space.
4,,Add attachments such as protein shaker that can make use of the movement of the machine.
4,2,Use some centrifuge to filter some of the dirty water and cycle that back into the wash to reduce water use.
4,2,"Utilize water from other home appliances, or use waste water from washing for other uses. This could include using water from the washer to then wash dishes, or implementing a greywater system to water the lawn (after removal of excess soap/detergent)."
3,2,When designing the polymer beads that may ultimately replace water within the washing machine it will be extremely important to insure that the lifecycle analysis of these beads does in fact result in a net reduction in water use If not then the current methods are still more desirable.
5,1,Have larger door for better access to clothing.
5,3,Give text alert for completion of laundry load.
4,2,More drying functions to reduce the damage of the clothes.
5,1,The machine is front loaded to save water and be better for clothes.
3,2,"Front load is more efficient but harder on back, so look at new loading techniques that are more ergonomic."
3,2,"Add upgrades to old machines to make them more energy/water efficient, rather than starting from scratch."
3,3,Have a sensor inside of the washing machine that adjusts the power needed to spin the drum be dependent on the weight of the clothes that have been loaded into the machine.
2,4,Try different designs and shapes for designing the washing tub such that it is more efficient and user friendly.
3,2,Reuse water for a few loads of laundry before sending it into the sewer.
3,2,Use polymer beads as an alternative of detergent.
5,1,Provide attachments for a hand wash mode when only a few items need to be washed.
5,5,"If a rotating drum is used, such that it can be powered by legs, then bicycle parts can be used. This makes manufacturing easier and as it provides some exercise, it can be appealing to the users."
1,5,"Have a machine that is powered by biofuels, such as garden trimmings and stuff that the user likely already has access to."
5,2,The machine recommends different setting for how to wash loads.
4,2,Have a spherical washing machine that can be used in outdoor activities
5,1,Design curvature and colors that produce happiness. Make the machine look sleek and modern.
3,2,Use squeeze mechanism for removing water.
3,3,Use sensor to keep track of water and power consumption.
3,4,"Add inserts into the washer to aid in passive agitation, as opposed to shaking the entire load like current front-loaders do. This would require fluid dynamic analysis."
3,1,See if there is a better method of driving the drum compared to the stator-rotor motor design.
5,1,Maintenance team that regularly checks on machine to make machines last longer.
3,2,"Waste water from the other resources can be entered into the machine, purified and reused."
3,1,Develop new materials used for washing clothes which are more environment friendly.
4,3,Use rubber gasket sealed inlet channel so that dirty laundry can travel straight from the laundry chute into the washing machine.
3,5,Like a sea anemone of squishy little arms sticking out from the walls to help clean the clothes.
4,1,Make washing machines out of recycled metal.
3,1,Use minimalist design.
3,1,Perform a study on optimal washing techniques to observe if the current model is the most efficient method. This provides the potential for a complete redesign of the washing cycle.
3,2,"Non-electric machine that uses hand crank to induce spin cycle. Water usage is restricted by size of machine. Maybe users can have two separate water tanks that stores soapy water, rinse water, and clean water. These water tanks can be used for up to three or four loads so that it reduces water usage."
4,3,Automatically load washing machine.
2,4,Add energy harvesting tech to regain lost energy in the washing machine.
3,1,Futuristic curb appeal can be easily created with LED lighting instead of painting materials - saves material and very low energy impact
3,2,Reduce water usage by using the waste water from washing machine for garden cleaning.
4,1,"Have internal lights that change color during the wash cycle, located inside drum (ideally for front loading washer) so that the light projects out."
3,1,Use better actuating mechanism.
4,5,Have an insert that shrinks the size of the effective drum for a small load.
5,1,Have an adaptor for solar panel that can be placed outside.
5,1,Have a washing machine that restricts water flow to be minimal (only what is necessary to complete wash cycle). Use less detergent so that fabrics require less water usage for rinsing.
5,1,Use cold and warm cycles only to reduce energy usage
5,1,Build non-load carrying parts from recycled materials to reduce cost of the machine for customers.
3,2,Additional hybrid modes between the ones they already have could be marketable to people who don't have the time to sort their laundry.
3,5,"In the age of autonomous vehicle, the car cabin has been shown to be used for other purposes. The washing machine could be connected to the autonomous vehicle by coupling the rotation to the vehicle motor and the dryer to air intake while the car is travelling. This way drying consumes far less power."
4,1,Design a resevouir that holds all of the detergent in a normal size jug so users don't have to store it.
4,1,Have variable sizes of washer for different loads of laundry.
2,3,Use the water from tap as a water jet to drive a turbine which drives the drum and spins it.
3,2,Treat the water with some chemicals before sending into the drum to improve the efficiency of washing process.
3,2,Change the angle of washing machine to let it use less water while washing.
3,1,Use alternative methods to heat the water.
5,1,Have a pretreat/soak option for tough stains and then automatically start the cycle once some time has elapsed.
4,1,Develop more specific washing method for washing different material and stain.
